query_id,native_query,romanized_query,mixed_query
10605,ಹೂವಿನ ಸಸ್ಯದಲ್ಲಿ ಎಪಿಡರ್ಮಿಸ್ ಏನು ಮಾಡುತ್ತದೆ,huuvina sasyadalli epidarmis eenu maaduttade,huuvina ಸಸ್ಯದಲ್ಲಿ epidarmis ಏನು maaduttade
10005,ಉಸಿರಾಟದ ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಅಪಧಮನಿಗಳು ಏನು ಮಾಡುತ್ತವೆ,usiraatada vyavastheyalli apadhamanigalu eenu maaduttave,usiraatada ವ್ಯವಸ್ಥೆಯಲ್ಲಿ apadhamanigalu ಏನು maaduttave
10406,ಶೋಟೈಮ್ ರೋಟಿಸೆರಿಯಲ್ಲಿ ಹಂದಿ ಮಾಂಸದ ಚಾಪ್‌ಗಳನ್ನು ಎಷ್ಟು ಸಮಯ ಬೇಯಿಸಬೇಕು,shootaim rootiseriyalli hamdi maamsada chaapgalannu eshtu samaya beeyisabeeku,shootaim ರೋಟಿಸೆರಿಯಲ್ಲಿ hamdi ಮಾಂಸದ chaapgalannu ಎಷ್ಟು samaya ಬೇಯಿಸಬೇಕು
12250,ದ್ವೀಪಗಳಲ್ಲಿ ಹೇಲಿಯಾಕಲಾ ಎಲ್ಲಿದೆ,dviipagalalli heeliyaakalaa ellide,dviipagalalli ಹೇಲಿಯಾಕಲಾ ellide
10127,PEI ಯಲ್ಲಿ ಜುಲೈ ತಿಂಗಳಲ್ಲಿ ಸರಾಸರಿ ಉಷ್ಣಾಂಶ ಎಷ್ಟು?,pei yalli julai timgalalli saraasari ushnaamsha eshtu?,pei ಯಲ್ಲಿ julai ತಿಂಗಳಲ್ಲಿ saraasari ಉಷ್ಣಾಂಶ eshtu?
10137,ಚಿಕ್ಕ ಮನೆ ನಾನು ಮಾಡ್ಯುಲರ್ ಮನೆಯನ್ನು ಪರಿವರ್ತಿಸಬಹುದೇ,chikka mane naanu maadyular maneyannu parivartisabahudee,chikka ಮನೆ naanu ಮಾಡ್ಯುಲರ್ maneyannu ಪರಿವರ್ತಿಸಬಹುದೇ
9724,ಪೂರ್ವ ಕ್ಯಾನ್ಸರ್ ಚರ್ಮ ಕ್ಯಾನ್ಸರ್‌ನ ಪ್ರಕಾರಗಳು,puurva kyaansar charma kyaansarna prakaaragalu,puurva ಕ್ಯಾನ್ಸರ್ charma ಕ್ಯಾನ್ಸರ್‌ನ prakaaragalu
9737,ಸಿಲಿಯಮ್ ಹಸ್ಕ್ ಫೈಬರ್,siliyam hask phaibar,siliyam ಹಸ್ಕ್ phaibar
11099,ಲಾಗ್ ಹೋಮ್‌ಗಳಿಗೆ ಚದರ ಅಡಿಗೆ ಬೆಲೆ,laag hoomgalige chadara adige bele,laag ಹೋಮ್‌ಗಳಿಗೆ chadara ಅಡಿಗೆ bele
10715,ನಿಮ್ಮ ದೇಹದ ಪ್ರಾಥಮಿಕ ಶಕ್ತಿಯ ಮೂಲವಾಗಿರುವ ಕಾರ್ಬೋಹೈಡ್ರೇಟ್‌ಗಳೇನು?,nimma deehada praathamika shaktiya muulavaagiruva kaarboohaidreetgaleenu?,nimma ದೇಹದ praathamika ಶಕ್ತಿಯ muulavaagiruva ಕಾರ್ಬೋಹೈಡ್ರೇಟ್‌ಗಳೇನು?
9875,ಹೋವರ್‌ಬೋರ್ಡ್‌ನ ಬೆಲೆ ಎಷ್ಟು?,hoovarboordna bele eshtu?,hoovarboordna ಬೆಲೆ eshtu?
11809,ಕೊತ್ತಂಬರಿ ಏನಕ್ಕೆ ಉಪಯೋಗವಾಗುತ್ತದೆ,kottambari eenakke upayoogavaaguttade,kottambari ಏನಕ್ಕೆ upayoogavaaguttade
10119,ಜ್ಯಾಕಿ ಚಾನ್ ನಿವ್ವಳ ಮೌಲ್ಯ,jyaki can nivvala maulya,jyaki ಚಾನ್ nivvala ಮೌಲ್ಯ
10201,ಅಲಾಸ್ಕಾದಲ್ಲಿ ಚಳಿಗಾಲದಲ್ಲಿ ಸರಾಸರಿ ತಾಪಮಾನ,alaskadalli caligaladalli sarasari tapamana,alaskadalli ಚಳಿಗಾಲದಲ್ಲಿ sarasari ತಾಪಮಾನ
10524,ಆಲ್ಕೋಹಾಲ್‌ನಿಂದ ಲಿವರ್ ಸಮಸ್ಯೆಗಳ ಲಕ್ಷಣಗಳೇನು?,aalkoohaalnimda livar samasyegala lakshanagaleenu?,aalkoohaalnimda ಲಿವರ್ samasyegala ಲಕ್ಷಣಗಳೇನು?
12761,ಎಮಲ್ಸಿಫೈಯರ್ ಏನು ಮಾಡುತ್ತದೆ,emalsiphaiyar eenu maaduttade,emalsiphaiyar ಏನು maaduttade
10724,ಸೆಡರ್‌ನಲ್ಲಿ ಯಾವ ರೀತಿಯ ಆಹಾರವನ್ನು ನೀಡಲಾಗುತ್ತದೆ,sedarnalli yaava riitiya aahaaravannu niidalaaguttade,sedarnalli ಯಾವ riitiya ಆಹಾರವನ್ನು niidalaaguttade
10242,ಸರ್ಪೆಂಟೈನ್ ಮಣ್ಣು ಎಂದರೇನು?,sarpemtain mannu emdareenu?,sarpemtain ಮಣ್ಣು emdareenu?
12207,ಒಬಾಮಾಕೇರ್‌ಗಾಗಿ ಮನೆಯ ಆದಾಯವೆಂದು ಏನನ್ನು ಪರಿಗಣಿಸಲಾಗುತ್ತದೆ,obaamaakeergaagi maneya aadaayavemdu eenannu pariganisalaaguttade,obaamaakeergaagi ಮನೆಯ aadaayavemdu ಏನನ್ನು pariganisalaaguttade
10265,ಮೇನಾರ್ಡ್ ಜಿ ಕ್ರೆಬ್ಸ್ ನ ಮಧ್ಯದ ಹೆಸರು ಏನಿತ್ತು,meenaard ji krebs na madhyada hesaru eenittu,meenaard ಜಿ krebs ನ madhyada ಹೆಸರು eenittu
10310,ವಿರಾಮ ಮುಂಚೆ ಕೆಲಸ ಮಾಡಲು ಅನುಮತಿಸಲಾದ ಗರಿಷ್ಠ ಗಂಟೆಗಳು,viraama mumche kelasa maadalu anumatisalaada garishtha gamtegalu,viraama ಮುಂಚೆ kelasa ಮಾಡಲು anumatisalaada ಗರಿಷ್ಠ gamtegalu
10765,ನಾಯಿಗೆ ಎಷ್ಟು ನೀರು ಕುಡಿಸಬೇಕು,naayige eshtu niiru kudisabeeku,naayige ಎಷ್ಟು niiru ಕುಡಿಸಬೇಕು
12195,ಹೋಮ್‌ವೈಸ್ ಶೀಟ್ ವಿನೈಲ್ ಅನ್ನು ಸ್ಥಾಪಿಸಲು ವೆಚ್ಚ,hoomvais shiit vinail annu sthaapisalu vechcha,hoomvais ಶೀಟ್ vinail ಅನ್ನು sthaapisalu ವೆಚ್ಚ
12487,ಉನ್ನತ ಕಾರ್ಯನಿರ್ವಾಹಕರಾಗಲು ಯಾವ ಶಿಕ್ಷಣದ ಅಗತ್ಯವಿದೆ,unnata kaaryanirvaahakaraagalu yaava shikshanada agatyavide,unnata ಕಾರ್ಯನಿರ್ವಾಹಕರಾಗಲು yaava ಶಿಕ್ಷಣದ agatyavide
10699,ಡಾನ್ ಬ್ರಾಡ್ಮನ್ ಅವರು ಎಲ್ಲಿ ಜನಿಸಿದರು,daan braadman avaru elli janisidaru,daan ಬ್ರಾಡ್ಮನ್ avaru ಎಲ್ಲಿ janisidaru
12188,ಪ್ಯಾರಿಸ್ ಒಪ್ಪಂದಕ್ಕೆ ಸಹಿ ಹಾಕಿದ್ದರೆ ಏನಾಗಬಹುದಿತ್ತು,pyaaris oppamdakke sahi haakiddare eenaagabahudittu,pyaaris ಒಪ್ಪಂದಕ್ಕೆ sahi ಹಾಕಿದ್ದರೆ eenaagabahudittu
12157,NRF2 ಆಕ್ಟಿವೇಟರ್ ಏನು,nrf2 aktivetar enu,nrf2 ಆಕ್ಟಿವೇಟರ್ enu
10300,ಲ್ಯಾಕ್ಟೇಸ್ ಎಲ್ಲಿಂದ ಬರುತ್ತದೆ,lyaaktees ellimda baruttade,lyaaktees ಎಲ್ಲಿಂದ baruttade
10646,ಸರಾಸರಿ ವ್ಯಕ್ತಿ ಎಷ್ಟು ಗಂಟೆಗಳ ಕಾಲ ಸ್ವಯಂಸೇವೆ ಮಾಡುತ್ತಾನೆ,saraasari vyakti eshtu gamtegala kaala svayamseeve maaduttaane,saraasari ವ್ಯಕ್ತಿ eshtu ಗಂಟೆಗಳ kaala ಸ್ವಯಂಸೇವೆ maaduttaane
10855,ಅಸಿಟಮಿನೋಫೆನ್ ಯಾವ ಕಾರ್ಯಾತ್ಮಕ ಗುಂಪಿನಲ್ಲಿದೆ,asitaminoophen yaava kaaryaatmaka gumpinallide,asitaminoophen ಯಾವ kaaryaatmaka ಗುಂಪಿನಲ್ಲಿದೆ
9791,ಯುಎಸ್ ಪ್ರಜೆಯಾಗಲು ಸರಾಸರಿ ವೆಚ್ಚ,yues prajeyaagalu saraasari vechcha,yues ಪ್ರಜೆಯಾಗಲು saraasari ವೆಚ್ಚ
11290,ಟುಂಡ್ರಾದ ಪರಾಕಾಷ್ಠೆ ಸಸ್ಯವರ್ಗ ಏನು,tumdraada paraakaashthe sasyavarga eenu,tumdraada ಪರಾಕಾಷ್ಠೆ sasyavarga ಏನು
10840,ಗ್ಲುಟಾಮೇಟ್‌ನ ಕಾರ್ಯ ಏನು?,glutaameetna kaarya eenu?,glutaameetna ಕಾರ್ಯ eenu?
12565,ಸರ್ಕಾರಗಳ ನಡುವಿನ ಸಂಬಂಧಗಳು ಏನು ?,sarkaaragala naduvina sambamdhagalu eenu ?,sarkaaragala ನಡುವಿನ sambamdhagalu ಏನು ?
10390,ಟೈಟಲ್ III ಹಣಕಾಸು ಎಂದರೇನು,taital iii hanakaasu emdareenu,taital III hanakaasu ಎಂದರೇನು
11980,ಕ್ಲಾಗ್ ಔಟ್ ಏನನ್ನು ಹೊಂದಿದೆ,klaag aut eenannu homdide,klaag ಔಟ್ eenannu ಹೊಂದಿದೆ
9841,ಟ್ರಫಲ್‌ಗಳು ಯಾವ ರೀತಿಯ ಹವಾಮಾನದಲ್ಲಿ ಬೆಳೆಯುತ್ತವೆ,traphalgalu yaava riitiya havaamaanadalli beleyuttave,traphalgalu ಯಾವ riitiya ಹವಾಮಾನದಲ್ಲಿ beleyuttave
9755,ಯಾವ ನರಕೋಶವು ಬೆಳಕಿನಲ್ಲಿ ನರಸಂವೇದಕಗಳನ್ನು ಸ್ರವಿಸುತ್ತದೆ,yaava narakooshavu belakinalli narasamveedakagalannu sravisuttade,yaava ನರಕೋಶವು belakinalli ನರಸಂವೇದಕಗಳನ್ನು sravisuttade
10356,ಯಾವ ಸರ್ಕಾರದ ಶಾಖೆಯು ಕಾನೂನುಗಳನ್ನು ವ್ಯಾಖ್ಯಾನಿಸುವ ಜವಾಬ್ದಾರಿಯನ್ನು ಹೊಂದಿದೆ,yaava sarkaarada shaakheyu kaanuunugalannu vyaakhyaanisuva javaabdaariyannu homdide,yaava ಸರ್ಕಾರದ shaakheyu ಕಾನೂನುಗಳನ್ನು vyaakhyaanisuva ಜವಾಬ್ದಾರಿಯನ್ನು homdide
10151,ಎಂಎಸ್‌ಜಿ ಅನಾರೋಗ್ಯಕರವಾಗಿರುವುದಕ್ಕೆ ಕಾರಣವೇನು?,emesji anaaroogyakaravaagiruvudakke kaaranaveenu?,emesji ಅನಾರೋಗ್ಯಕರವಾಗಿರುವುದಕ್ಕೆ kaaranaveenu?
11804,ಬರ್ಪೀ ಯ ವ್ಯಾಖ್ಯಾನ,barpi ya vyakhyana,barpi ಯ vyakhyana
9710,ರೆಡ್‌ವುಡ್ ಮರವು ಎಷ್ಟು ಎತ್ತರವಿದೆ,redvud maravu eshtu ettaravide,redvud ಮರವು eshtu ಎತ್ತರವಿದೆ
9955,ಕೀಬೋರ್ಡ್ ಅನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಲು ನೀವು ಏನನ್ನು ಬಳಸುತ್ತೀರಿ,kiiboord annu svachchhagolisalu niivu eenannu balasuttiiri,kiiboord ಅನ್ನು svachchhagolisalu ನೀವು eenannu ಬಳಸುತ್ತೀರಿ
11937,ಔಷಧಿ ತಂತ್ರಜ್ಞರ ವೇತನ,ausadhi tamtrajjara vetana,ausadhi ತಂತ್ರಜ್ಞರ vetana
11539,ಸಿಸ್ಟ್ ಒಳಗೆ ಏನಿದೆ,sist olage eenide,sist ಒಳಗೆ eenide
10758,ಹೈಡ್ರೋಜನ್ ಸ್ಟೀಮ್ ರಿಫಾರ್ಮಿಂಗ್ ವೆಚ್ಚ,haidroojan stiim riphaarmimg vechcha,haidroojan ಸ್ಟೀಮ್ riphaarmimg ವೆಚ್ಚ
9974,ರಕ್ತದಲ್ಲಿ ನಿಕೋಟಿನ್ ಎಷ್ಟು ಕಾಲ ಪತ್ತೆಯಾಗುತ್ತದೆ,raktadalli nikootin eshtu kaala patteyaaguttade,raktadalli ನಿಕೋಟಿನ್ eshtu ಕಾಲ patteyaaguttade
9892,ಕೊಸೈನ್ ಸಮೀಕರಣದಲ್ಲಿ ವ್ಯಾಪ್ತಿ ಎಂದರೇನು,kosain samiikaranadalli vyaapti emdareenu,kosain ಸಮೀಕರಣದಲ್ಲಿ vyaapti ಎಂದರೇನು
11870,ಆವಾಸ ವಿಜ್ಞಾನದ ವ್ಯಾಖ್ಯಾನ,avasa vijjanada vyakhyana,avasa ವಿಜ್ಞಾನದ vyakhyana
10329,ನ್ಯೂ ಜೆರ್ಸಿಯಲ್ಲಿ ರಿಕವರಿ ಕೋಚ್ ಎಷ್ಟು ಸಂಪಾದಿಸಬಹುದು,nyuu jersiyalli rikavari kooch eshtu sampaadisabahudu,nyuu ಜೆರ್ಸಿಯಲ್ಲಿ rikavari ಕೋಚ್ eshtu ಸಂಪಾದಿಸಬಹುದು
12516,ಸರಾಸರಿ ಇಂಟರ್ನೆಟ್ ವೆಚ್ಚವು ತಿಂಗಳಿಗೆ ಎಷ್ಟು?,saraasari imtarnet vechchavu timgalige eshtu?,saraasari ಇಂಟರ್ನೆಟ್ vechchavu ತಿಂಗಳಿಗೆ eshtu?
10521,ಜೈವಿಕ ವೈದ್ಯಕೀಯ ನೀತಿಶಾಸ್ತ್ರ ಏನು ?,jaivika vaidyakiiya niitishaastra eenu ?,jaivika ವೈದ್ಯಕೀಯ niitishaastra ಏನು ?
10311,ಪಾಪುವಾ ನ್ಯೂ ಗಿನಿಯ ಮೂಲ ಎಲ್ಲಿದೆ?,paapuvaa nyuu giniya muula ellide?,paapuvaa ನ್ಯೂ giniya ಮೂಲ ellide?
12469,ಗಟರ್ ಗಾರ್ಡ್ ಖರ್ಚು ಎಷ್ಟು,gatar gaard kharchu eshtu,gatar ಗಾರ್ಡ್ kharchu ಎಷ್ಟು
10205,ಪ್ಲೇಟೋ ಎಂದರೇನು,pleetoo emdareenu,pleetoo ಎಂದರೇನು
10010,ಮ್ಯಾನ್‌ಹ್ಯಾಟನ್ ಯೋಜನೆಯ ಆರಂಭವನ್ನು ಏನು ಸೃಷ್ಟಿಸಿತು,myaanhyaatan yoojaneya aarambhavannu eenu srushtisitu,myaanhyaatan ಯೋಜನೆಯ aarambhavannu ಏನು srushtisitu
10978,ಒಂದು ಪ್ರಮಾಣಿತ ಸಾಮಾನ್ಯ ವಿತರಣೆಯಲ್ಲಿ ಸರಾಸರಿ,omdu pramaanita saamaanya vitaraneyalli saraasari,omdu ಪ್ರಮಾಣಿತ saamaanya ವಿತರಣೆಯಲ್ಲಿ saraasari
10258,ಹ್ಯಾರಡ್ಸ್ ಏನು,hyarads enu,hyarads ಏನು
10071,ಶರೀರಶಾಸ್ತ್ರ ಎಂದರೇನು,shariirashaastra emdareenu,shariirashaastra ಎಂದರೇನು
9731,ಪೂರ್ಣ ರಕ್ತ ಎಣಿಕೆಗೆ ಸಾಮಾನ್ಯ ಶ್ರೇಣಿ,puurna rakta enikege saamaanya shreeni,puurna ರಕ್ತ enikege ಸಾಮಾನ್ಯ shreeni
12873,ಇಮ್ಯೂನೋಫಿಕ್ಸೇಶನ್ ಪರೀಕ್ಷೆ ಏನು?,imyuunoophikseeshan pariikshe eenu?,imyuunoophikseeshan ಪರೀಕ್ಷೆ eenu?
12486,ವಂಚನೆಯ ವೆಚ್ಚ,vamchaneya vechcha,vamchaneya ವೆಚ್ಚ
9697,ಮಾನಸಿಕ ಅಗತ್ಯದ ಉದಾಹರಣೆ ಏನು?,maanasika agatyada udaaharane eenu?,maanasika ಅಗತ್ಯದ udaaharane ಏನು?
11583,ಸರಾಸರಿ ವೇತನ ನಾನ್ ಇನ್ವೇಸಿವ್ ಹೃದಯರೋಗ ತಜ್ಞ,sarasari vetana nan invesiv hrdayaroga tajja,sarasari ವೇತನ nan ಇನ್ವೇಸಿವ್ hrdayaroga ತಜ್ಞ
10253,ದೈತ್ಯ ಚಿಟ್ಟೆಗಳು ಎಲ್ಲಿಂದ ಬಂದವು?,daitya chittegalu ellimda bamdavu?,daitya ಚಿಟ್ಟೆಗಳು ellimda ಬಂದವು?
10057,ಸ್ರಾವಕ್ಕಾಗಿ ಪ್ಯಾಡ್ ಧರಿಸಬೇಕೇ?,sraavakkaagi pyaad dharisabeekee?,sraavakkaagi ಪ್ಯಾಡ್ dharisabeekee?
9869,ಅನಂದಿ ಹೆಸರಿನ ಅರ್ಥ,anamdi hesarina artha,anamdi ಹೆಸರಿನ artha
10441,ದೃಷ್ಟಿ ಕಾರ್ಟೆಕ್ಸ್ ಹಾನಿಗೊಳಗಾದರೆ ಏನಾಗುತ್ತದೆ,drushti kaarteks haanigolagaadare eenaaguttade,drushti ಕಾರ್ಟೆಕ್ಸ್ haanigolagaadare ಏನಾಗುತ್ತದೆ
10055,ಪೋಷಕರನ್ನು ಅವಲಂಬಿತರಾಗಿ ಹಕ್ಕು ಸಾಧಿಸುವ ಸಮಯ,posakarannu avalambitaragi hakku sadhisuva samaya,posakarannu ಅವಲಂಬಿತರಾಗಿ hakku ಸಾಧಿಸುವ samaya
9999,ವಿದ್ಯಾರ್ಥಿ ವಸತಿಗಳ ಖರ್ಚು ಎಷ್ಟು,vidyaarthi vasatigala kharchu eshtu,vidyaarthi ವಸತಿಗಳ kharchu ಎಷ್ಟು
11767,"ಬಯೋಫೀಡ್‌ಬ್ಯಾಕ್ ಆಸ್ಟಿನ್, ವೆಚ್ಚ","bayoophiidbyaak aastin, vechcha","bayoophiidbyaak ಆಸ್ಟಿನ್, vechcha"
10077,ಮೈಯಾಸ್ಥೀನಿಯಾ ಗ್ರೇವಿಸ್ ಚಿಕಿತ್ಸೆ ಏನು ?,maiyaasthiiniyaa greevis chikitse eenu ?,maiyaasthiiniyaa ಗ್ರೇವಿಸ್ chikitse ಏನು ?
11901,ಪದದ ಅರ್ಥ ಬೇಟೆಯಾಡುವಿಕೆ,padada artha beeteyaaduvike,padada ಅರ್ಥ beeteyaaduvike
10501,ಶಕ್ತಿ ಎಂಜಿನಿಯರ್ ಆಗಲು ಯಾವ ಪದವಿ ಅಗತ್ಯವಿದೆ,shakti emjiniyar aagalu yaava padavi agatyavide,shakti ಎಂಜಿನಿಯರ್ aagalu ಯಾವ padavi ಅಗತ್ಯವಿದೆ
10175,ಕ್ಲ್ಯಾಮಿಡಿಯಾದ ಅವಧಿ ಎಷ್ಟು,klyaamidiyaada avadhi eshtu,klyaamidiyaada ಅವಧಿ eshtu
9821,ಸ್ಕ್ವಿರಲ್ ಮಂಕಿ ಯಾವ ಗುಂಪಿಗೆ ಸೇರಿದೆ,skviral mamki yaava gumpige seeride,skviral ಮಂಕಿ yaava ಗುಂಪಿಗೆ seeride
11716,ಒಂದು ತಿಂಗಳ ಬಾಲಕನಿಗೆ ಎಷ್ಟು ಪ್ರಮಾಣದ ಹಾಲು ಕುಡಿಸಬೇಕು,omdu timgala baalakanige eshtu pramaanada haalu kudisabeeku,omdu ತಿಂಗಳ baalakanige ಎಷ್ಟು pramaanada ಹಾಲು kudisabeeku
10276,ಹೊಟ್ಟೆಯು ಆಹಾರವನ್ನು ಜೀರ್ಣಿಸುತ್ತದೆಯೇ?,hotteyu aahaaravannu jiirnisuttadeyee?,hotteyu ಆಹಾರವನ್ನು jiirnisuttadeyee?
9723,ಶಿಶುಗಳು ಎಷ್ಟು ಚಿಕ್ಕ ವಯಸ್ಸಿನಲ್ಲಿ ಹಲ್ಲು ಬರುವುದನ್ನು ಪ್ರಾರಂಭಿಸುತ್ತವೆ,shishugalu eshtu chikka vayassinalli hallu baruvudannu praarambhisuttave,shishugalu ಎಷ್ಟು chikka ವಯಸ್ಸಿನಲ್ಲಿ hallu ಬರುವುದನ್ನು praarambhisuttave
11383,ಎಲ್ಲಿ ಮತ್ತು ಯಾವಾಗ ಎಲೆಕೋಸು ಬೀಜಗಳನ್ನು ನೆಡಬೇಕು,elli mattu yaavaaga elekoosu biijagalannu nedabeeku,elli ಮತ್ತು yaavaaga ಎಲೆಕೋಸು biijagalannu ನೆಡಬೇಕು
10007,ಇಎಂಜಿ ಪರೀಕ್ಷೆ ಏನು ?,iemji pariikshe eenu ?,iemji ಪರೀಕ್ಷೆ eenu ?
10450,ಟಾಸ್ ಎಂದರೇನು,taas emdareenu,taas ಎಂದರೇನು
11315,ಸುಬಾರು ಇಂಪ್ರೆಜಾ ಮೈಲೇಜ್ ಪ್ರತಿ ಗ್ಯಾಲನ್,subaaru imprejaa maileej prati gyaalan,subaaru ಇಂಪ್ರೆಜಾ maileej ಪ್ರತಿ gyaalan
9969,ರೇಡಾನ್‌ನ ಉಪಯೋಗಗಳೇನು ?,reedaanna upayoogagaleenu ?,reedaanna ಉಪಯೋಗಗಳೇನು ?
9720,ಫ್ರೋಝನ್ ಆಗಿರುವ ಗ್ರೌಂಡ್ ಬೀಫ್ ಎಷ್ಟು ದಿನಗಳ ಕಾಲ ಚೆನ್ನಾಗಿರುತ್ತದೆ?,phroojhan aagiruva graumd biiph eshtu dinagala kaala chennaagiruttade?,phroojhan ಆಗಿರುವ graumd ಬೀಫ್ eshtu ದಿನಗಳ kaala ಚೆನ್ನಾಗಿರುತ್ತದೆ?
9859,ಇಲಿನಾಯ್ಸ್‌ನಲ್ಲಿ LPN ಗಂಟೆಗೆ ಎಷ್ಟು ಸಂಪಾದಿಸುತ್ತದೆ,ilinaaysnalli lpn gamtege eshtu sampaadisuttade,ilinaaysnalli LPN gamtege ಎಷ್ಟು sampaadisuttade
10628,ಶಾಂತತೆ ಎಂದರೇನು,shaamtate emdareenu,shaamtate ಎಂದರೇನು
11811,ವೇರೆಸ್ ಎಂದರೇನು,veeres emdareenu,veeres ಎಂದರೇನು
12573,ವಲ್ಲಾಹಿ ಅಜೀಮ್ ಎಂದರೇನು,vallaahi ajiim emdareenu,vallaahi ಅಜೀಮ್ emdareenu
12147,ಯಾವ ಆಹಾರಗಳು ಕ್ರೂಸಿಫೆರಸ್ ಆಹಾರಗಳು,yaava aahaaragalu kruusipheras aahaaragalu,yaava ಆಹಾರಗಳು kruusipheras ಆಹಾರಗಳು
10029,ಮಾನವ ಕಣ್ಣು ಗ್ರಹಿಸಬಹುದಾದ ಅತಿ ಚಿಕ್ಕ ಕಣದ ಗಾತ್ರ ಎಷ್ಟು,maanava kannu grahisabahudaada ati chikka kanada gaatra eshtu,maanava ಕಣ್ಣು grahisabahudaada ಅತಿ chikka ಕಣದ gaatra ಎಷ್ಟು
10659,ನಿಕಾರಾಗುವಾ ನಕ್ಷೆಯಲ್ಲಿ ಎಲ್ಲಿದೆ?,nikaaraaguvaa naksheyalli ellide?,nikaaraaguvaa ನಕ್ಷೆಯಲ್ಲಿ ellide?
12342,ಕ್ಯಾಟಲೇಸ್ ಪಾಸಿಟಿವ್ ಫಲಿತಾಂಶ ಏನು,kyatales pasitiv phalitamza enu,kyatales ಪಾಸಿಟಿವ್ phalitamza ಏನು
10686,ಜರ್ಹಾರ್ಡ್ ಡೊಮಾಗ್ಕ್ ಏನನ್ನು ಕಂಡುಹಿಡಿದರು,jarhaard domaagk eenannu kamduhididaru,jarhaard ಡೊಮಾಗ್ಕ್ eenannu ಕಂಡುಹಿಡಿದರು
9691,ಸುಸ್ಥಿರತೆಯನ್ನು ಇದಕ್ಕೆ ಸಂಬಂಧಿಸಿದಂತೆಯೂ ಉಲ್ಲೇಖಿಸಲಾಗುತ್ತದೆ,susthirateyannu idakke sambamdhisidamteyuu ulleekhisalaaguttade,susthirateyannu ಇದಕ್ಕೆ sambamdhisidamteyuu ಉಲ್ಲೇಖಿಸಲಾಗುತ್ತದೆ
11739,ಡೆಂಟ್ ಅನ್ನು ಹೊರತೆಗೆಯಲು ಎಷ್ಟು ಖರ್ಚಾಗುತ್ತದೆ,demt annu horategeyalu eshtu kharchaaguttade,demt ಅನ್ನು horategeyalu ಎಷ್ಟು kharchaaguttade
10308,ಮೊಕೆಲುಮ್ನೆ ನದಿ ಎಲ್ಲಿಂದ ಹುಟ್ಟಿದೆ,mokelumne nadi ellimda huttide,mokelumne ನದಿ ellimda ಹುಟ್ಟಿದೆ
10649,ನನ್ನ ಮೆದುಳನ್ನು ಹೇಗೆ ಪ್ರಚೋದಿಸುವುದು,nanna medulannu heege prachoodisuvudu,nanna ಮೆದುಳನ್ನು heege ಪ್ರಚೋದಿಸುವುದು
9845,ಪಾಪಿ ಬೀಜವು ಸಾಸಿವೆ ಬೀಜವನ್ನು ಸೂಚಿಸುತ್ತದೆಯೇ?,paapi biijavu saasive biijavannu suuchisuttadeyee?,paapi ಬೀಜವು saasive ಬೀಜವನ್ನು suuchisuttadeyee?
11836,ನಾನು ನನ್ನ ಸಿರಾಮಿಕ್ ಬ್ಯಾಕ್‌ಸ್ಪ್ಲ್ಯಾಶ್ ಅನ್ನು ಅಳವಡಿಸಲು ಯಾರಿಗೆ ಎಷ್ಟು ಹಣ ನೀಡಬೇಕು?,naanu nanna siraamik byaaksplyaash annu alavadisalu yaarige eshtu hana niidabeeku?,naanu ನನ್ನ siraamik ಬ್ಯಾಕ್‌ಸ್ಪ್ಲ್ಯಾಶ್ annu ಅಳವಡಿಸಲು yaarige ಎಷ್ಟು hana ನೀಡಬೇಕು?
